Date,Description,Amount,Category
2024-01-05,Grocery Store,-85.50,Food
2024-01-06,Salary Deposit,3500.00,Income
2024-01-08,Electric Bill,-120.00,Utilities
2024-01-10,Restaurant,-45.75,Food
2024-01-12,Gas Station,-60.00,Transportation
2024-01-15,Online Shopping,-250.00,Shopping
2024-01-18,Gym Membership,-50.00,Health
2024-01-20,Freelance Payment,800.00,Income
2024-01-22,Coffee Shop,-12.50,Food
2024-01-25,Internet Bill,-80.00,Utilities
2024-01-28,Movie Tickets,-35.00,Entertainment
2024-01-30,Grocery Store,-95.25,Food
2024-02-01,Rent Payment,-1200.00,Housing
2024-02-03,Phone Bill,-65.00,Utilities
2024-02-05,Restaurant,-78.50,Food
2024-02-08,Gas Station,-55.00,Transportation
2024-02-10,Medical Checkup,-150.00,Health
2024-02-12,Bonus Payment,500.00,Income
2024-02-15,Online Course,-199.00,Education
2024-02-18,Grocery Store,-110.00,Food
2024-02-20,Unknown Transaction,-1500.00,Other
2024-02-22,Clothing Store,-180.00,Shopping
2024-02-25,Dinner Party,-120.00,Food
2024-02-28,Car Insurance,-200.00,Insurance
